video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@carolineanisam/video/7600865586251353358,carolineanisam,Let’s debrief on all of the wellness trends I’m seeing! LMK what YOU are seeing 💫 ,183,2,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:10:55
https://www.tiktok.com/@paulaahnen/video/7609621749814136086,paulaahnen,Do it for your future self 🤍 #healthylifestyle #wellnesslifestyle ,1671,53,0.0,,,False,False,False,False,False,False,"['healthylifestyle', 'wellnesslifestyle']",2026-04-13 20:11:00
https://www.tiktok.com/@livinwithiz/video/7262051006475750698,livinwithiz,the only way #lifestyle #wellness #aesthetic #morningroutine ,3056,11,0.0,,,False,False,False,False,False,False,"['lifestyle', 'wellness', 'aesthetic', 'morningroutine']",2026-04-13 20:11:07
https://www.tiktok.com/@lykkenaenfeldt/video/7166555476048563461,lykkenaenfeldt,just a note on healthy habits☁️ you’ve got this🫶🏼 #wellness ,23200,57,0.0,,,False,False,False,False,False,False,['wellness'],2026-04-13 20:11:13
https://www.tiktok.com/@femmeviralhub/video/7602232650752855317,femmeviralhub,"Monday mindset: New week, New goals.✨️🤍 Back tô the routine.
#cleangirl ",12400,471,0.0,,,False,False,False,False,False,False,['cleangirl'],2026-04-13 20:11:20
https://www.tiktok.com/@sofialiaa/video/7577468220488060174,sofialiaa,7am morning routine 🎀 @Resolve #morningroutine #7am #grwm ,216600,3657,0.0,,,False,False,False,False,False,False,"['morningroutine', '7am', 'grwm']",2026-04-13 20:11:26
https://www.tiktok.com/@anfel_diaries/video/7508082416540519685,anfel_diaries,"Better energy >> better me 🩶✨

#fitness #gymworkout ",8444,42,0.0,,,False,False,False,False,False,False,"['fitness', 'gymworkout']",2026-04-13 20:11:32
https://www.tiktok.com/@luisamarthamaier/video/7375408382200614176,luisamarthamaier,"in my wellness girl era 🫧
#selfcareroutine #healthandwellness ",20300,76,0.0,,,False,False,False,False,False,False,"['selfcareroutine', 'healthandwellness']",2026-04-13 20:11:39
https://www.tiktok.com/@shaaayyaaaa/video/7588622851268300064,shaaayyaaaa,I like to have a slow self care evening every now and then 😌💆🏻‍♀️☕️,5575,38,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:11:45
https://www.tiktok.com/@lisabianci/video/7618864623827045665,lisabianci,"and that's all the explanation it needs.

#wellnessgirl #glowyskin ",94,2,0.0,,,False,False,False,False,False,False,"['wellnessgirl', 'glowyskin']",2026-04-13 20:11:52
https://www.tiktok.com/@jade.com__/video/7348585840437660970,jade.com__,life got so much easier when I started to prioritizing God and myself 🤍 ,1274,15,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:11:57
https://www.tiktok.com/@abbyinnashville/video/7507700710377639214,abbyinnashville,Sue me! #facial #propaganda #selfcare #wellness ,66,10,0.0,,,False,False,False,False,False,False,"['facial', 'propaganda', 'selfcare', 'wellness']",2026-04-13 20:12:04
https://www.tiktok.com/@angelxvibesz/video/7590539012524313889,angelxvibesz,"remember this in 2026
#visionboard #healthy #lifestyle #aesthetic ",650,0,0.0,,,False,False,False,False,False,False,"['visionboard', 'healthy', 'lifestyle', 'aesthetic']",2026-04-13 20:12:09
https://www.tiktok.com/@womenshealthus/video/7582798366476750094,womenshealthus,"In your 30s, 40s, or 50s, this gel is here for you #wellnesstok ",2511,69,0.0,,,False,False,False,False,False,False,['wellnesstok'],2026-04-13 20:12:16
https://www.tiktok.com/@massage_relaxx/video/7582582323481169173,massage_relaxx,Soft Neck & Chest Massage Moment in a Calm Studio,949,19,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:12:23
https://www.tiktok.com/@rayanaferej/video/7508907329753009438,rayanaferej,"just a selfcare girl 🎀🪩✨  
#healthylifestyle #motivation ",2239,113,0.0,,,False,False,False,False,False,False,"['healthylifestyle', 'motivation']",2026-04-13 20:12:29
https://www.tiktok.com/@hs.george/video/7464678026261826849,hs.george,daily skincare and pinterest scroll ! #SelfCare #skincare #routine ,51400,377,0.0,,,False,False,False,False,False,False,"['selfcare', 'skincare', 'routine']",2026-04-13 20:12:35
https://www.tiktok.com/@dailywellnessclub/video/7566200347039894791,dailywellnessclub,NEW Wellness Spot in Sydney: A must-visit for wellness lovers ✨,2496,30,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:12:42
https://www.tiktok.com/@serenaeh_/video/7227821312448711963,serenaeh_,"tunnel vision era💫 
#healthylifestyle #healthandwellness ",7145,21,0.0,,,False,False,False,False,False,False,"['healthylifestyle', 'healthandwellness']",2026-04-13 20:12:49
https://www.tiktok.com/@honeyglow1/video/7591146070537735444,honeyglow1,🌿 Honey Glow Beauty World Spa Benefits 🌿,4249,44,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:12:56
https://www.tiktok.com/@thisisndamu/video/7445334059602971936,thisisndamu,"Morning routines at the gym 🖤

@lululemon @maccosmetics 
#fyp ",12200,110,0.0,,,False,False,False,False,False,False,['fyp'],2026-04-13 20:13:02
https://www.tiktok.com/@angelpins/video/7601076546790559007,angelpins,☮️🥥🌴🧘‍♀️💦☀️🫐🍵 #fyp  #foryoupage #health #wellness #aesthetic ,841,0,0.0,,,False,False,False,False,False,False,"['fyp', 'foryoupage', 'health', 'wellness', 'aesthetic']",2026-04-13 20:13:08
https://www.tiktok.com/@olaaxdiary/video/7528686090954345750,olaaxdiary,"spend a girly, productive morning with me 🍃🧘🏼‍♀️

#morningroutine ",48200,939,0.0,,,False,False,False,False,False,False,['morningroutine'],2026-04-13 20:13:15
https://www.tiktok.com/@luisamarthamaier/video/7600126551522315542,luisamarthamaier,"discipline > motivation 🎧
#wellnessgirl #moodboard ",2131,5,0.0,,,False,False,False,False,False,False,"['wellnessgirl', 'moodboard']",2026-04-13 20:13:21
https://www.tiktok.com/@starrysleep444/video/7593726472284654870,starrysleep444,This is the adulthood I was promised 🪷🧘‍♀️ #2000s #2000yogaaesthetic #pilates ,11200,24,0.0,,,False,True,False,False,False,False,"['2000s', '2000yogaaesthetic', 'pilates']",2026-04-13 20:13:27
https://www.tiktok.com/@noradrkx/video/7357787767935356193,noradrkx,🧖🏾‍♀️🫧🩵 #wellnest #spa #essen #nrw #whirlpool #wellness #relax ,1303,28,0.0,,,False,False,False,False,False,False,"['wellnest', 'spa', 'essen', 'nrw', 'whirlpool', 'wellness', 'relax']",2026-04-13 20:13:34
https://www.tiktok.com/@maria.mcco/video/7226942210497973510,maria.mcco,in my self care era 🫶🏼🧖🏼‍♀️ #wellness #selfcare #selfcareroutine ,72600,108,0.0,,,False,False,False,False,False,False,"['wellness', 'selfcare', 'selfcareroutine']",2026-04-13 20:13:41
https://www.tiktok.com/@beautifysalonco/video/7492698713043848470,beautifysalonco,"Where luxury meets tranquility 🤍✨

#beauty #salon #wellness #spa ",25900,131,0.0,,,False,False,False,False,False,False,"['beauty', 'salon', 'wellness', 'spa']",2026-04-13 20:13:47
https://www.tiktok.com/@anahmarieee/video/7561998261305740574,anahmarieee,my wellness morning routine 💗🌟 ft @Proper Health ,704,43,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:13:54
https://www.tiktok.com/@elisapur/video/7584244873734147383,elisapur,"take a break from scrolling 💕📱🧸

#unwindwithme #wellness ",724800,12000,0.0,,,False,False,False,False,False,False,"['unwindwithme', 'wellness']",2026-04-13 20:14:01
https://www.tiktok.com/@sofiiades/video/7620374015076568341,sofiiades,and I had a massive t bone steak just before 😁🥹 #lymphaticdrainage,461,27,0.0,,,False,True,False,False,False,False,['lymphaticdrainage'],2026-04-13 20:14:07
https://www.tiktok.com/@saynasheikhh/video/7249517954398981422,saynasheikhh,favorite type of days 🎧🧖🏽‍♀️☁️🫧           #selfcareroutine #selfcaredays ,585,3,0.0,,,False,False,False,False,False,False,"['selfcareroutine', 'selfcaredays']",2026-04-13 20:14:14
https://www.tiktok.com/@charlie__gl/video/7542469389115755806,charlie__gl,Morning Routine 🎀🥒🧖🏽‍♀️ #wellnessjourney #morningroutine ,1041,7,0.0,,,False,False,False,False,False,False,"['wellnessjourney', 'morningroutine']",2026-04-13 20:14:21
https://www.tiktok.com/@luisamarthamaier/video/7554644826839371030,luisamarthamaier,"happy weekend 🩷
#wellnessgirl #wellnessroutine #selfcare ",1859,12,0.0,,,False,False,False,False,False,False,"['wellnessgirl', 'wellnessroutine', 'selfcare']",2026-04-13 20:14:28
https://www.tiktok.com/@paulaahnen/video/7618570867752144161,paulaahnen,wait why is taking care of myself kinda addictive #wellnessgirlies ,108,20,0.0,,,False,True,False,False,False,False,['wellnessgirlies'],2026-04-13 20:14:35
https://www.tiktok.com/@ju.imperatori/video/7395054782316088582,ju.imperatori,with the best @Gabi Paes 💘💘 #aesthetic #lifestyle #hotspots ,8523,36,0.0,,,False,False,False,False,False,False,"['aesthetic', 'lifestyle', 'hotspots']",2026-04-13 20:14:41
https://www.tiktok.com/@fashion_is.life/video/7464369288246349078,fashion_is.life,#clean #wellness #fyp #foryou #aesthetic #cleangirl #healthy ,3191,13,0.0,,,False,False,False,False,False,False,"['clean', 'wellness', 'fyp', 'foryou', 'aesthetic', 'cleangirl', 'healthy']",2026-04-13 20:14:48
https://www.tiktok.com/@gianariveraaa/video/7584288964647931150,gianariveraaa,"wellness era
#wellness #health #healthylifestyle #fyp #aesthetic ",122,1,0.0,,,False,False,False,False,False,False,"['wellness', 'health', 'healthylifestyle', 'fyp', 'aesthetic']",2026-04-13 20:14:55
https://www.tiktok.com/@juan_macchia/video/7506066700354342200,juan_macchia,He’s a wellness junkie 🫱🏻‍🫲🏼🧃 #calogram #wellnessjourney #fitness ,2098,18,0.0,,,False,False,False,False,False,False,"['calogram', 'wellnessjourney', 'fitness']",2026-04-13 20:15:02
https://www.tiktok.com/@ftsvitoria/video/7551583514357976376,ftsvitoria,"ao mesmo tempo que quero fazer tudo, não quero fazer nada

#aesthetic #girls #viral #vibes ",142700,250,0.0,,,False,True,False,False,False,False,"['aesthetic', 'girls', 'viral', 'vibes']",2026-04-13 20:15:08
https://www.tiktok.com/@bryannawozniak/video/7619046749121809677,bryannawozniak,gym morning routine 🦢🎧🫧🏋🏻‍♀️ #morningvlog #workoutroutine ,454,17,0.0,,,False,False,False,False,False,False,"['morningvlog', 'workoutroutine']",2026-04-13 20:15:15
https://www.tiktok.com/@amanda_cosenza/video/7492920949197540663,amanda_cosenza,vloguinho noturno 👼🏼🌙 #selfcare #selfcareroutine #nightroutine ,16900,245,0.0,,,False,False,False,False,False,False,"['selfcare', 'selfcareroutine', 'nightroutine']",2026-04-13 20:15:21
https://www.tiktok.com/@francescaaaac/video/7623824027445923090,francescaaaac,"my favorite era 🧘🏼‍♀️🧘🏼‍♀️🧘🏼‍♀️

#wellnessaesthetic #selfcare #lockin ",482,3,0.0,,,False,False,False,False,False,False,"['wellnessaesthetic', 'selfcare', 'lockin']",2026-04-13 20:15:28
https://www.tiktok.com/@baileycarro/video/7163384988270955781,baileycarro,my forever era 😌✨ #wellnessaesthetic #healthylifestylejourney ,12800,39,0.0,,,False,False,False,False,False,False,"['wellnessaesthetic', 'healthylifestylejourney']",2026-04-13 20:15:33
https://www.tiktok.com/@auraestheticsbyamy/video/7446096890858327342,auraestheticsbyamy,"B R O W  L A M I N A T I O N ✨ 
 
#esthetician #brows ",92,1,0.0,,,False,False,False,False,False,False,"['esthetician', 'brows']",2026-04-13 20:15:42
https://www.tiktok.com/@acquaint8d/video/7624157169671539989,acquaint8d,#fyp #foryoupage #moodboard #aesthetic #fypviral ,5275,6,0.0,,,False,False,False,False,False,False,"['fyp', 'foryoupage', 'moodboard', 'aesthetic', 'fypviral']",2026-04-13 20:15:49
https://www.tiktok.com/@aaliyahxbw/video/7494276572778646806,aaliyahxbw,#selfmotivation #motivation #gymaesthetic #wellnessera ,154800,410,0.0,,,False,False,False,False,False,False,"['selfmotivation', 'motivation', 'gymaesthetic', 'wellnessera']",2026-04-13 20:15:56
https://www.tiktok.com/@oliviamaebarness/video/7525988231708527890,oliviamaebarness,your daily reminder 💌 #fyp #emmachamberlain #selfcare ,106000,318,0.0,,,False,False,False,False,False,False,"['fyp', 'emmachamberlain', 'selfcare']",2026-04-13 20:16:02
https://www.tiktok.com/@yana.xvi/video/7620762179704343830,yana.xvi,Entering our wellness era now that we’ve started defrosting 🫶🏼,518,24,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:16:09
https://www.tiktok.com/@bellehenriques/video/7431630782462037281,bellehenriques,"love bella hadid but wth was she on about lol

#fyp #foryoupage ",163400,811,0.0,,,False,True,False,False,False,False,"['fyp', 'foryoupage']",2026-04-13 20:16:14
https://www.tiktok.com/@giuliavanelli/video/7356390510669352197,giuliavanelli,"A vida é agora. 🩵
#motivação #inspiração #inspo #thatgirl #life ",227300,251,0.0,,,False,False,False,False,False,False,"['motivao', 'inspirao', 'inspo', 'thatgirl', 'life']",2026-04-13 20:16:21
https://www.tiktok.com/@girlsdiariesxash/video/7511141839706115359,girlsdiariesxash,"Romanticizing my wellness era one step at a time 🧘‍♀️✨ Nourishing my body, clearing my mind, and glowing from the inside out — it’s a lifestyle, not a phase 🤍 ",707,5,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:16:28
https://www.tiktok.com/@kimberly.cat/video/7590787869912927519,kimberly.cat,"morning essentials 🧸🩰🍵🫧

#aesthetic #morningskincare #selfcare ",5508,64,0.0,,,False,False,False,False,False,False,"['aesthetic', 'morningskincare', 'selfcare']",2026-04-13 20:16:36
https://www.tiktok.com/@fitwithdora/video/7542658021139270942,fitwithdora,Do it for yourself 🤍 #cleangirl #cleangirlaesthetic #selfcare ,13400,55,0.0,,,False,False,False,False,False,False,"['cleangirl', 'cleangirlaesthetic', 'selfcare']",2026-04-13 20:16:42
https://www.tiktok.com/@allbalu/video/7579525276078509328,allbalu,Cleaning your fyp 🤍 #healthylifestyle #wellness #wellnessaesthetic #winterarc #wellnessgirl ,1439,7,0.0,,,False,False,False,False,False,False,"['healthylifestyle', 'wellness', 'wellnessaesthetic', 'wellnessgirl']",2026-04-13 20:16:49
https://www.tiktok.com/@dschietti/video/7355661244117880069,dschietti,"o meu tipo de segunda <3 
#fyp #fyy #romantizingyourlife ",494,12,0.0,,,False,False,False,False,False,False,"['fyp', 'fyy', 'romantizingyourlife']",2026-04-13 20:16:56
https://www.tiktok.com/@jhinkzama2/video/7568899215544339715,jhinkzama2,"A new species is born 🦖 

#waist #gym #physique #aesthetic #fyp ",381400,4264,0.0,,,False,False,False,False,False,False,"['waist', 'gym', 'physique', 'aesthetic', 'fyp']",2026-04-13 20:17:03
https://www.tiktok.com/@georgiavanstone/video/7617931368345062678,georgiavanstone,"gym, shopping & coffee before work 🧘🏼🧘🏼🪽🪽🪽 #morningroutine ",938,6,0.0,,,False,False,True,False,False,False,['morningroutine'],2026-04-13 20:17:09
https://www.tiktok.com/@naomijohnstonn/video/7440677608062340370,naomijohnstonn,"Life goals >>

#privatelife #lowkey #peacefullife #feminineenergy ",371800,723,0.0,,,False,False,False,False,False,False,"['privatelife', 'lowkey', 'peacefullife', 'feminineenergy']",2026-04-13 20:17:16
https://www.tiktok.com/@rayanaferej/video/7520839270484036894,rayanaferej,when prioritizing your health and wellness becomes a hobby 🤍 ,2907,87,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:17:23
https://www.tiktok.com/@paulaahnen/video/7616723811852897568,paulaahnen,"What you’re not changing, you’re choosing 🤍 #healthylifestyle ",551,26,0.0,,,False,False,False,False,False,False,['healthylifestyle'],2026-04-13 20:17:29
https://www.tiktok.com/@mariemaddiek/video/7565443364531817748,mariemaddiek,"What a place ✨ 

#dubai #discover #trend #aesthetic #wellness ",105,6,0.0,,,False,False,False,False,False,False,"['dubai', 'discover', 'trend', 'aesthetic', 'wellness']",2026-04-13 20:17:35
https://www.tiktok.com/@alena.muux/video/7206714745062296875,alena.muux,"another day another morning vlog ☁️🫶🏼✨🧸🎧 
#morningroutine ",492100,755,0.0,,,False,False,False,False,False,False,['morningroutine'],2026-04-13 20:17:41
https://www.tiktok.com/@yourgirlfriendbgo/video/7603548909969001742,yourgirlfriendbgo,"Soft girl vibes took over on my Windham pharmacy run today 🤍✨! Strolling through the aisles, curating my wellness routine, and filming the moments that feel effortlessly aesthetic was the perfect blend of self-love 🌿. When you live with purpose and a sprinkle of magic, even the simplest days feel extraordinary 💫 ",2796,25,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:17:48
https://www.tiktok.com/@ailton.sz/video/7494453963668901175,ailton.sz,#foryoupage #fyp #foryou #aesthetic #LuxuryLifestyle ,3200000,4492,0.0,,,False,False,False,False,False,False,"['foryoupage', 'fyp', 'foryou', 'aesthetic', 'luxurylifestyle']",2026-04-13 20:17:53
https://www.tiktok.com/@poshpinkflamingo/video/7597258950811077919,poshpinkflamingo,wellness #erewhon #health #tumblrgirls #aesthetic #moodboard,2190,3,0.0,,,False,False,False,False,False,False,"['erewhon', 'health', 'tumblrgirls', 'aesthetic', 'moodboard']",2026-04-13 20:18:02
https://www.tiktok.com/@wellnesswithkmarykaitlyn/video/7508770776506453279,wellnesswithkmarykaitlyn,THINGS TO DO IN NOLA 🌳🧖‍♀️☕️ ,72,1,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:18:08
https://www.tiktok.com/@macylissa/video/7528860228931046686,macylissa,🎀 #girlyaesthetic #cleangirlaesthetic #healthylifestyle ,27900,557,0.0,,,False,False,False,False,False,False,"['girlyaesthetic', 'cleangirlaesthetic', 'healthylifestyle']",2026-04-13 20:18:13
https://www.tiktok.com/@micheallasmoodboard/video/7599706856021413123,micheallasmoodboard,"the real wellness must have 
#girlytok #wellness #sauna ",122400,368,0.0,,,False,False,False,False,False,False,"['girlytok', 'wellness', 'sauna']",2026-04-13 20:18:21
https://www.tiktok.com/@samm_yv/video/7274746554915867936,samm_yv,Welcome to the good side of tiktok 🌱🫶🏾☁️ #wellnessgirls ,82800,300,0.0,,,False,False,False,False,False,False,['wellnessgirls'],2026-04-13 20:18:28
https://www.tiktok.com/@exquises/video/7600726603970268438,exquises,#newcreator #ThatGirl #SoftLife #LifestyleAesthetic #PhotoDump ,2131,31,0.0,,,False,False,False,False,False,False,"['newcreator', 'thatgirl', 'softlife', 'lifestyleaesthetic', 'photodump']",2026-04-13 20:18:37
https://www.tiktok.com/@starzlightsz/video/7605008441106517270,starzlightsz,Vibes #rainforest #aesthetic #fyp #repost #hippie ,18300,28,0.0,,,False,False,False,False,False,False,"['rainforest', 'aesthetic', 'fyp', 'repost', 'hippie']",2026-04-13 20:18:43
https://www.tiktok.com/@mbali.creates/video/7570242019969256722,mbali.creates,"Wellness, but make it aesthetic 🍵@Love Matcha 💚 

#lovematcha ",55,1,0.0,,,False,False,False,False,False,False,['lovematcha'],2026-04-13 20:18:50
https://www.tiktok.com/@itsdarianova/video/7506329607621070085,itsdarianova,My 6am morning routine as a wanna be wellness girlie 🍵🩷,906,16,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:18:57
https://www.tiktok.com/@vfskw/video/7482680209704094998,vfskw,"This lifestyle💋
#gymfit #gymgirl #gymgirlaesthetic #gymtime ",27800,345,0.0,,,False,False,False,False,False,False,"['gymfit', 'gymgirl', 'gymgirlaesthetic', 'gymtime']",2026-04-13 20:19:04
https://www.tiktok.com/@msnataliachavez/video/7208811868008484142,msnataliachavez,tried something new at work today 🧊❄️ ,116,3,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:19:11
https://www.tiktok.com/@reactivawellness/video/7296900870061526277,reactivawellness,"El estudio más aesthetic que jamás has visto✨

#aesthetic #cdmx ",58,0,0.0,,,False,False,False,False,False,False,"['aesthetic', 'cdmx']",2026-04-13 20:19:17
https://www.tiktok.com/@judithdalenn/video/7463521386779200790,judithdalenn,"The wellness girlies know the drill🧖🏼‍♀️🫧
#wellness #wellnessgirl ",20500,95,0.0,,,False,False,False,False,False,False,"['wellness', 'wellnessgirl']",2026-04-13 20:19:24
https://www.tiktok.com/@seda.eks/video/7496426446563446038,seda.eks,morning diaries!! 🧸✨🌸☁️ #morningroutine #morningdiaries ,6200,105,0.0,,,False,False,False,False,False,False,"['morningroutine', 'morningdiaries']",2026-04-13 20:19:31
https://www.tiktok.com/@shaaayyaaaa/video/7621483815441026337,shaaayyaaaa,"manifesting this 🧘🏻‍♀️🌷🍵✍🏻🛁
#wellnessroutine #motivation ",413,12,0.0,,,False,False,False,False,False,False,"['wellnessroutine', 'motivation']",2026-04-13 20:19:37
https://www.tiktok.com/@auraestheticsbyamy/video/7452514707950341418,auraestheticsbyamy,A fun dermaplaning sesh! It’s so satisfying i love seeing all the peach fuzz and dead skin come off ,80,3,0.0,,,False,True,False,False,False,False,[],2026-04-13 20:19:44
https://www.tiktok.com/@nataliemilan_/video/7555247967666523405,nataliemilan_,health is wealth. #luxurylife #wellness #visionboard #aesthetic #moodboard  ,2450,2,0.0,,,False,False,False,False,False,False,"['luxurylife', 'wellness', 'visionboard', 'aesthetic', 'moodboard']",2026-04-13 20:19:50
https://www.tiktok.com/@alyssadunson/video/7602310715919109406,alyssadunson,morning routine xx 🪽 #minivlogaesthetic #healthandwellness ,262,33,0.0,,,False,False,False,False,False,False,"['minivlogaesthetic', 'healthandwellness']",2026-04-13 20:19:57
https://www.tiktok.com/@minnyaesthetics/video/7621835913618050326,minnyaesthetics,"wellness day 

#morningroutine #pilates #wellness #londonlife #vlog ",100,1,0.0,,,False,False,False,False,False,False,"['morningroutine', 'pilates', 'wellness', 'londonlife', 'vlog']",2026-04-13 20:20:04
https://www.tiktok.com/@itsdarianova/video/7549923977410497810,itsdarianova,wellness therapy 🙏🏼 #wellness #wellnessaesthetic #healthylifestyle ,523,9,0.0,,,False,False,False,False,False,False,"['wellness', 'wellnessaesthetic', 'healthylifestyle']",2026-04-13 20:20:10
https://www.tiktok.com/@gabymariie5/video/7532554621240216887,gabymariie5,I visited the most aesthetic wellness club in Miami this weekend for a lovely express facial ✨💗🧖‍♀️  ,60,6,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:20:17
https://www.tiktok.com/@luisamarthamaier/video/7365797777827237152,luisamarthamaier,"wellness girlie 4 life 🧘🏼‍♀️💗
#wellnessgirl #wellnessaesthetic ",97600,535,0.0,,,False,False,False,False,False,False,"['wellnessgirl', 'wellnessaesthetic']",2026-04-13 20:20:24
https://www.tiktok.com/@vscosophy/video/7257985915753106734,vscosophy,wellness girly always 🥗🧘‍♀️👟🥑🎧 | #morningroutine ,371,11,0.0,,,False,False,False,False,False,False,['morningroutine'],2026-04-13 20:20:30
https://www.tiktok.com/@velvinanina/video/7568188554573040918,velvinanina,confident mindset>> 💌 locked in to my wellness flow ,2032,43,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:20:38
https://www.tiktok.com/@colesvnford/video/7492446399280319787,colesvnford,do it #fyp #wellnesstips #health #fitness #viral ,117,10,0.0,,,False,False,False,False,False,False,"['fyp', 'wellnesstips', 'health', 'fitness', 'viral']",2026-04-13 20:20:43
https://www.tiktok.com/@juan_macchia/video/7532031764986989830,juan_macchia,the art of aesthetic wellness 🫱🏻‍🫲🏼🧃 (I’m in love)  #fyp #cleanboy ,882,10,0.0,,,False,False,False,False,False,False,"['fyp', 'cleanboy']",2026-04-13 20:20:51
https://www.tiktok.com/@meet_madeleine/video/7625832920959290645,meet_madeleine,my aesthetic wellness routine as health freak 💅🏼,2608,30,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:20:58
https://www.tiktok.com/@pcjaxson/video/7614990335051173150,pcjaxson,summer. #tumblr #aesthetic #summervibes #summer #targetaudience ,98100,114,0.0,,,False,False,False,False,False,False,"['tumblr', 'aesthetic', 'summervibes', 'summer', 'targetaudience']",2026-04-13 20:21:04
https://www.tiktok.com/@sayehsaidi/video/7343741318234983722,sayehsaidi,"$189 USD for a 3 course meal, wine, half day of 3 treatments, and access to the pools, saunas and facilities ",60,3,0.0,,,False,False,False,False,False,False,[],2026-04-13 20:21:11
https://www.tiktok.com/@ko.rnel.ia/video/7578877639079775510,ko.rnel.ia,"Slow selfcare morning 🫧🩷
.
.
.
#selfcare #wellnessgirl ",33,10,0.0,,,False,False,False,False,False,False,"['selfcare', 'wellnessgirl']",2026-04-13 20:21:18
https://www.tiktok.com/@margaritazavalko/video/7102717506934164742,margaritazavalko,morning aesthetic ✨ #morningroutine #sport #healthylifestyle ,8691,22,0.0,,,False,False,False,False,False,False,"['morningroutine', 'sport', 'healthylifestyle']",2026-04-13 20:21:25
https://www.tiktok.com/@shaezer/video/7565582569396243742,shaezer,"addicted to my wellness routine 🧖🏼‍♀️🍵🧘🏼‍♀️

#selfcareroutine ",102,14,0.0,,,False,True,False,False,False,False,['selfcareroutine'],2026-04-13 20:21:32
